id,location,lat,lon,state
GLC7383,"Tuitung village, Khengjoi",23.899,94.1434,Manipur
GLC7373,between Maku village and Kamjong sub division,24.9111,94.4759,Manipur
GLC7389,between Bongyang and Lokchao along the Imphal-Moreh highway,24.4072,94.0644,Manipur
GLC7371,near S Lamphei Lamkhai and Sehlon village,23.9939,94.0573,Manipur
GLC7388,Senam,24.416,94.0984,Manipur
GLC7374,Ukhrul town Circular road from Rayotang to Viewland Zone II,25.1122,94.3591,Manipur
GLC7409,Meluri Sub-Division in Phek District of Nagaland,25.72,94.6219,Nagaland
GLC7666,Tousem,25.1019,93.3729,Manipur
GLC7664,Nungba,24.7459,93.4251,Manipur
GLC7665,Khoupum,24.7016,93.5291,Manipur
GLC7660,Phesama village,25.6237,94.1136,Nagaland
GLC7887,Hawai,27.8835,96.9262,Arunachal Pradesh
GLC7335,Tura Civil Hospital,25.5145,90.2023,Meghalaya
GLC7334,Arunachal Pradesh,28.1737,94.7596,Arunachal Pradesh
GLC7701,Phesama,25.6278,94.1051,Nagaland
GLC7699,Zunheboto district,26.0214,94.5224,Nagaland
GLC7589,National Highway 44,25.2568,92.3825,Meghalaya
GLC7590,Tongseng,25.1416,92.3807,Meghalaya
GLC7706,National Highway at Kuliang,25.0728,92.3636,Meghalaya
GLC7336,NH-62 at Sibbari,25.2193,90.5549,Meghalaya
GLC7727,between Phesama and Kuima in Nagaland,25.6263,94.1057,Nagaland
GLC7728,Natonal Highway in Jorabat area,26.1028,91.8806,Assam
GLC7780,Sailam village,23.3572,92.7878,Mizoram
GLC7778,Phullen’s main road,23.8447,93.0514,Mizoram
GLC7836,"National Highway 54, at Kawnpui town",24.042,92.6724,Mizoram
GLC7933,Maligaon,26.1868,91.6739,Assam
GLC7923,Amingaon,26.49349035,91.72137514,Assam
GLC7956,Byrnihat,26.048,91.8695,Meghalaya
GLC8012,"Umling, Meghalaya 793102, India",25.9703,91.8584,Meghalaya
GLC8224,"Aizawl, Mizoram, India",23.7313,92.7187,Mizoram
GLC8223,"Aizawl, Mizoram, India",23.7348,92.7187,Mizoram
GLC8339,Kamakhya Temple,26.1666,91.7042,Assam
GLC8366,"Shillong, Meghalaya, India",25.583,91.893,Meghalaya
GLC9405,"Techahan Ward, Mon, Nagaland, India",26.7223,95.0243,Nagaland
GLC7655,"Tawang, Arunachal Pradesh",27.5799,91.8569,Arunachal Pradesh
GLC9404,"Hayuliang, Anjaw district,Arunachal Pradesh, India",28.0822,96.5316,Arunachal Pradesh
GLC9335,"Bilaipur, Hailakandi district, Assam, India",24.5202,92.7239,Assam
GLC9338,"Sonachirra, Karimganj district, Assam, India",24.4638,92.4943,Assam
GLC9334,"Bilaipur, Hailakandi district, Assam, India",24.5204,92.7264,Assam
GLC9168,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",27.6438,93.871,Arunachal Pradesh
GLC9142,"lower Majakong Ward, Mokokchung, Nagaland, India",26.3185,94.5247,Nagaland
GLC8222,"Piyali Phukan Nagar, Guwahati, India",26.1961,91.7825,Assam
GLC8237,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India",27.0136,92.6351,Arunachal Pradesh
GLC8900,"Imphal-Ukhrul sector of National Highway 102, Manipur, India",25.0118,94.3136,Manipur
GLC8684,"Kamrup district, Assam, India",25.9611,91.3681,Assam
GLC8901,"National Highway 2, near Kohima, Nagaland, India",25.7902,94.1318,Nagaland
GLC8930,"North Point Colony, Akuluto, Nagaland, India",26.1699,94.4922,Nagaland
GLC8995,"Noonmati Nijarapar area of the city, Guwahati, Assam, India",26.1963,91.8074,Assam
GLC8996,"Pub Sarania hill, South Sarania, Guwahati, Assam, India",26.1768,91.7702,Assam
GLC9051,"12th Mile area at Jorabat, Meghalaya, India",26.09748244,91.8744337,Meghalaya
GLC9124,"Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India",25.203,90.5573,Meghalaya
GLC9186,"Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India",25.48,94.1383,Manipur
GLC9219,"Zunheboto, Nagaland, India",26.0101,94.5282,Nagaland
GLC9251,"Government Middle School (GMS) Kiphire station “B”, Kiphire, Nagaland, India",25.8702,94.7844,Nagaland
GLC9232,"Ngur, near Mizoram-Myanmar border, India",23.5397,93.3783,Mizoram
GLC9252,"Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India",27.5748,91.8644,Arunachal Pradesh
GLC9464,Babrang village under Jang circle in Tawang district,27.5754,91.9754,Arunachal Pradesh
LS1,Tlangval,23.73,92.72,Mizoram
GLC9620,Rangpo,27.172,88.5292,Sikkim
GLC9619,Namchi,27.1695,88.3664,Sikkim
LS2,College Veng,23.72,92.72,Mizoram
LS3,Durtlang Leitan,23.77,92.74,Mizoram
LS5,"Ngaizel, Kulikawn",23.73,92.73,Mizoram
LS6,Melthum quarry,23.7,92.72,Mizoram
LS8,Salem Veng,23.74,92.72,Mizoram
LS9,Falkawn,23.68,92.73,Mizoram
LS10,Chawnpui,23.72,92.71,Mizoram
LS13,"NH-6, Hunthar",23.74,92.71,Mizoram
LS14,Thuampui,23.75,92.73,Mizoram
LS15,Zemabawk,23.76,92.74,Mizoram
LS16,Zuangtui,23.76,92.73,Mizoram
LS17,Kawnpui,24.03,92.62,Mizoram
